fold,video_id,windows,suspect_windows,first_window_suspect,max_identity_clusters,min_dominant_ratio,max_cosine_distance,mean_cosine_distance,clip_suspect_contamination,suspect_window_ratio
fold1,AN_WILTY_EP15_lie10,3,0,False,3,0.8125,0.8840054869651794,0.2896505296230316,False,0.0
fold1,AN_WILTY_EP15_lie13,4,2,False,4,0.375,0.8447455763816833,0.33695003390312195,True,0.5
fold1,AN_WILTY_EP15_lie14,6,6,True,7,0.375,1.1191657781600952,0.482023020585378,True,1.0
fold1,AN_WILTY_EP15_lie19,3,2,False,3,0.4375,0.9658141136169434,0.3686911662419637,True,0.6666666666666666
fold1,AN_WILTY_EP15_lie4,3,0,False,2,0.875,0.8809996843338013,0.21053865055243173,False,0.0
fold1,AN_WILTY_EP15_lie5,4,2,True,4,0.4375,1.0024161338806152,0.32819169759750366,True,0.5
fold1,AN_WILTY_EP15_truth6,6,6,True,8,0.1875,1.1910743713378906,0.5642930616935095,True,1.0
fold1,AN_WILTY_EP15_truth7,3,3,True,5,0.375,0.9466663599014282,0.45811692873636883,True,1.0
fold1,AN_WILTY_EP16_lie21,5,1,True,4,0.4375,0.9907501935958862,0.29332390427589417,True,0.2
fold1,AN_WILTY_EP16_lie4,4,3,True,5,0.3125,1.005212664604187,0.41304870694875717,True,0.75
fold1,AN_WILTY_EP16_lie5,4,4,True,3,0.5,0.8710052967071533,0.34100132435560226,True,1.0
fold1,AN_WILTY_EP16_lie7,3,0,False,3,0.75,0.8662979602813721,0.2641087720791499,False,0.0
fold1,AN_WILTY_EP16_truth10,5,5,True,8,0.25,1.1327704191207886,0.6073243498802186,True,1.0
fold1,AN_WILTY_EP16_truth16,9,7,False,4,0.375,1.064224362373352,0.4007563889026642,True,0.7777777777777778
fold1,AN_WILTY_EP16_truth25,4,0,False,2,0.9375,0.7405027151107788,0.18156227469444275,False,0.0
fold1,AN_WILTY_EP16_truth26,5,4,True,3,0.5,0.8723952174186707,0.35224689245224,True,0.8
fold1,AN_WILTY_EP17_lie18,4,2,False,5,0.3125,0.9270214438438416,0.3719322010874748,True,0.5
fold1,AN_WILTY_EP17_truth10,5,0,False,4,0.75,0.9022801518440247,0.2958197832107544,False,0.0
fold1,AN_WILTY_EP18_lie17,2,0,False,3,0.75,0.8869581818580627,0.31240247189998627,False,0.0
fold1,AN_WILTY_EP18_lie18,4,0,False,2,0.875,0.6560440063476562,0.19985978305339813,False,0.0
fold1,AN_WILTY_EP18_lie21,6,1,True,3,0.5,0.7782911062240601,0.20777774850527445,True,0.16666666666666666
fold1,AN_WILTY_EP18_lie22,3,1,False,4,0.5625,0.9796570539474487,0.3362518548965454,True,0.3333333333333333
fold1,AN_WILTY_EP18_lie6,2,1,False,4,0.625,0.9515596628189087,0.42408621311187744,True,0.5
fold1,AN_WILTY_EP18_lie8,2,1,True,2,0.6875,0.8070306777954102,0.27961499243974686,True,0.5
fold1,AN_WILTY_EP18_truth1,4,4,True,4,0.4375,0.8674519062042236,0.3432598188519478,True,1.0
fold1,AN_WILTY_EP18_truth19,3,2,True,4,0.4375,0.9233871102333069,0.3322298427422841,True,0.6666666666666666
fold1,AN_WILTY_EP18_truth23,3,0,False,3,0.75,0.8720258474349976,0.31131767233212787,False,0.0
fold1,AN_WILTY_EP18_truth5,2,2,True,4,0.375,0.9296895861625671,0.47120973467826843,True,1.0
fold1,AN_WILTY_EP19_lie10,3,0,False,3,0.8125,0.8276425004005432,0.25957989195982617,False,0.0
fold1,AN_WILTY_EP19_lie14,2,2,True,4,0.5625,0.9165283441543579,0.43094244599342346,True,1.0
fold1,AN_WILTY_EP19_lie15,4,4,True,3,0.375,1.0080397129058838,0.4121132716536522,True,1.0
fold1,AN_WILTY_EP19_lie19,3,0,False,3,0.875,0.8260790705680847,0.2015528380870819,False,0.0
fold1,AN_WILTY_EP19_lie7,4,0,False,3,0.8125,0.8076657652854919,0.21986214071512222,False,0.0
fold1,AN_WILTY_EP19_lie8,4,4,True,4,0.4375,0.8185231685638428,0.37907256186008453,True,1.0
fold1,AN_WILTY_EP19_lie9,4,2,True,4,0.625,0.915242075920105,0.3366975411772728,True,0.5
fold1,AN_WILTY_EP19_truth21,2,2,True,5,0.3125,1.0858690738677979,0.6005681455135345,True,1.0
fold1,AN_WILTY_EP19_truth6,3,3,True,4,0.375,1.076442003250122,0.4558225671450297,True,1.0
fold1,AN_WILTY_EP20_lie5,2,0,False,2,0.875,0.8218244314193726,0.18290064483880997,False,0.0
fold1,AN_WILTY_EP20_lie6,4,4,True,5,0.375,1.0250962972640991,0.40452712774276733,True,1.0
fold1,AN_WILTY_EP20_lie7,5,3,True,4,0.375,0.9810878038406372,0.3506189465522766,True,0.6
fold1,AN_WILTY_EP20_truth1,3,2,True,3,0.6875,0.9498624205589294,0.2877255231142044,True,0.6666666666666666
fold1,AN_WILTY_EP20_truth3,4,3,True,6,0.375,1.0570417642593384,0.4797912910580635,True,0.75
fold1,AN_WILTY_EP20_truth4,3,2,False,4,0.5,0.7789241671562195,0.3352298339207967,True,0.6666666666666666
fold1,AN_WILTY_EP21_lie1,5,2,True,4,0.375,1.1714024543762207,0.3258564233779907,True,0.4
fold1,AN_WILTY_EP21_lie11,4,3,False,4,0.375,0.8385416865348816,0.3635381981730461,True,0.75
fold1,AN_WILTY_EP21_lie13,5,1,True,5,0.625,0.9641777873039246,0.1526589199900627,True,0.2
fold1,AN_WILTY_EP21_lie14,7,2,False,3,0.5,1.0334014892578125,0.2901591403143747,True,0.2857142857142857
fold1,AN_WILTY_EP21_lie17,5,4,True,4,0.4375,1.003180742263794,0.3935456782579422,True,0.8
fold1,AN_WILTY_EP21_lie6,7,1,True,2,0.6875,0.7222486734390259,0.19215392534221923,True,0.14285714285714285
fold1,AN_WILTY_EP21_lie7,3,1,True,3,0.625,1.0062768459320068,0.3122986654440562,True,0.3333333333333333
fold1,AN_WILTY_EP21_truth19,3,2,True,5,0.375,0.8841570019721985,0.38364429275194806,True,0.6666666666666666
fold1,AN_WILTY_EP21_truth2,5,4,False,5,0.375,1.0282334089279175,0.4125356912612915,True,0.8
fold1,AN_WILTY_EP21_truth21,4,0,False,2,0.9375,0.8471114635467529,0.19779564067721367,False,0.0
fold1,AN_WILTY_EP21_truth4,6,6,True,6,0.25,1.2166029214859009,0.47886350254217785,True,1.0
fold1,AN_WILTY_EP22_lie10,5,5,True,6,0.25,1.0572232007980347,0.4630258798599243,True,1.0
fold1,AN_WILTY_EP22_lie21,3,0,False,2,0.9375,0.8404138088226318,0.13780762255191803,False,0.0
fold1,AN_WILTY_EP22_lie25,3,2,True,5,0.5,0.8826847672462463,0.4229193329811096,True,0.6666666666666666
fold1,AN_WILTY_EP22_lie28,8,3,True,4,0.4375,1.0195444822311401,0.34068731032311916,True,0.375
fold1,AN_WILTY_EP22_lie29,7,5,True,5,0.375,0.9508358240127563,0.3619581588676998,True,0.7142857142857143
fold1,AN_WILTY_EP22_lie5,3,2,True,3,0.4375,1.0123637914657593,0.321220338344574,True,0.6666666666666666
fold1,AN_WILTY_EP22_lie7,3,3,True,4,0.3125,1.0204497575759888,0.4966163436571757,True,1.0
fold1,AN_WILTY_EP22_lie8,7,6,True,5,0.375,1.0619502067565918,0.4291712003094809,True,0.8571428571428571
fold1,AN_WILTY_EP22_truth14,7,4,True,5,0.3125,0.9827250838279724,0.3718327773468835,True,0.5714285714285714
fold1,AN_WILTY_EP22_truth15,7,1,True,3,0.5625,0.8359065651893616,0.2092851134283202,True,0.14285714285714285
fold1,AN_WILTY_EP22_truth18,4,3,False,5,0.4375,0.8934679627418518,0.3565952256321907,True,0.75
fold1,AN_WILTY_EP22_truth20,4,3,False,4,0.5,0.7947748303413391,0.2868150323629379,True,0.75
fold1,AN_WILTY_EP23_truth1,6,0,False,3,0.75,0.9396383762359619,0.1510221337278684,False,0.0
fold1,AN_WILTY_EP23_truth2,5,5,True,5,0.3125,1.1144726276397705,0.48588026165962217,True,1.0
fold1,AN_WILTY_EP23_truth6,6,1,True,3,0.5625,1.1199041604995728,0.23209369430939356,True,0.16666666666666666
fold1,AN_WILTY_EP23_truth8,3,1,True,3,0.5,0.9256666302680969,0.3138596663872401,True,0.3333333333333333
fold1,AN_WILTY_EP24_lie1,3,3,True,5,0.4375,1.071347713470459,0.46374451120694477,True,1.0
fold1,AN_WILTY_EP24_lie13,4,4,True,5,0.375,0.9539639949798584,0.4096437394618988,True,1.0
fold1,AN_WILTY_EP24_lie16,10,8,False,6,0.25,1.1390042304992676,0.44099858552217486,True,0.8
fold1,AN_WILTY_EP24_lie3,5,5,True,7,0.1875,1.164447546005249,0.548598313331604,True,1.0
fold1,AN_WILTY_EP24_lie4,6,4,True,5,0.4375,1.0091513395309448,0.3897356490294139,True,0.6666666666666666
fold1,AN_WILTY_EP24_lie5,6,6,True,5,0.3125,1.1021891832351685,0.5223089804251989,True,1.0
fold1,AN_WILTY_EP24_lie9,7,3,True,5,0.375,1.1229432821273804,0.3265571892261505,True,0.42857142857142855
fold1,AN_WILTY_EP25_lie10,10,9,True,6,0.25,1.0994023084640503,0.39371546506881716,True,0.9
fold1,AN_WILTY_EP25_lie7,5,3,True,5,0.4375,1.0652668476104736,0.38266347348690033,True,0.6
fold1,AN_WILTY_EP25_truth5,10,9,True,6,0.25,1.1473017930984497,0.4595659613609314,True,0.9
fold1,AN_WILTY_EP26_lie16,8,5,False,3,0.5,0.9242168068885803,0.30187101662158966,True,0.625
fold1,AN_WILTY_EP26_lie17,6,3,True,5,0.5625,1.0244596004486084,0.3726683457692464,True,0.5
fold1,AN_WILTY_EP26_truth12,3,3,True,4,0.4375,0.9018664360046387,0.37735505898793537,True,1.0
