epoch,train_loss,val_auc_roc,val_auc_pr,val_macro_f1,val_lie_recall,val_eer,lr
1,0.6095901258187751,0.4652777777777778,0.48034925594489464,0.4125874125874126,0.5,0.45833333333333337,0.0001
2,0.3186806454642178,0.13194444444444448,0.35243872370967205,0.28888888888888886,0.5833333333333334,0.875,0.0001
3,0.1870416572240934,0.10416666666666669,0.34625397649231615,0.28888888888888886,0.5833333333333334,0.875,0.0001
4,0.1476182448741508,0.13194444444444445,0.35289587260789645,0.24475524475524477,0.3333333333333333,0.7083333333333334,0.0001
5,0.1290128865878876,0.16666666666666669,0.3619017546400943,0.24475524475524477,0.3333333333333333,0.6666666666666667,5e-05
6,0.0515963467833114,0.1527777777777778,0.35857769078971463,0.24475524475524477,0.3333333333333333,0.7083333333333334,5e-05
7,0.0761321122719817,0.13194444444444445,0.35163324634527016,0.24475524475524477,0.3333333333333333,0.7083333333333334,5e-05
1,0.5834179851290298,0.2777777777777778,0.40196700724530854,0.36507936507936506,0.5,0.6666666666666667,0.0001
2,0.27502101455649286,0.2777777777777778,0.39257378650761005,0.3739130434782609,0.4166666666666667,0.625,0.0001
3,0.17837717782144677,0.2013888888888889,0.3713050966920936,0.34664246823956446,0.5833333333333334,0.8333333333333333,0.0001
4,0.13273572105250947,0.09027777777777779,0.3434132986516383,0.31688804554079697,0.6666666666666666,0.875,0.0001
5,0.1333454034916342,0.02777777777777777,0.3304021286067995,0.1724137931034483,0.4166666666666667,0.8333333333333334,5e-05
6,0.06223899962967389,0.02777777777777777,0.3304021286067995,0.2,0.5,0.8333333333333334,5e-05
7,0.0541317991095863,0.048611111111111105,0.33435512005979096,0.1724137931034483,0.4166666666666667,0.7916666666666667,5e-05
