w_spatial,w_flow,w_audio,objective,objective_value,val_auc_roc,val_calibrated_threshold,val_calibrated_balanced_accuracy,val_calibrated_f1_lie,val_calibrated_macro_f1
0.05,0.47,0.48,balanced_accuracy,0.6987179487179487,0.703155818540434,0.5290451519191265,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.05,0.51,0.44,balanced_accuracy,0.6987179487179487,0.7029092702169626,0.5284897454082966,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.05,0.49,0.46,balanced_accuracy,0.6987179487179487,0.7029092702169625,0.5287674486637115,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.05,0.5,0.45,balanced_accuracy,0.6987179487179487,0.7029092702169625,0.5286285970360041,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.05,0.52,0.43,balanced_accuracy,0.6987179487179487,0.7026627218934911,0.5283508937805892,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.06,0.48,0.46,balanced_accuracy,0.6987179487179487,0.7026627218934911,0.5289036370813847,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.04,0.5,0.46,balanced_accuracy,0.6987179487179487,0.7024161735700197,0.5286312602460385,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.03,0.55,0.42,balanced_accuracy,0.6987179487179487,0.7021696252465484,0.5279396653175354,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.05,0.48,0.47,balanced_accuracy,0.6987179487179487,0.7021696252465484,0.5289063002914189,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.06,0.46,0.48,balanced_accuracy,0.6987179487179487,0.7021696252465484,0.5291813403367996,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.06,0.47,0.47,balanced_accuracy,0.6987179487179487,0.7021696252465484,0.5290424887090921,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.06,0.49,0.45,balanced_accuracy,0.6987179487179487,0.7021696252465484,0.5287647854536771,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.05,0.53,0.42,balanced_accuracy,0.6987179487179487,0.701923076923077,0.5282120421528816,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.03,0.54,0.43,balanced_accuracy,0.6987179487179487,0.7019230769230769,0.5280785169452429,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.04,0.57,0.39,balanced_accuracy,0.6987179487179487,0.7019230769230769,0.5276460687816142,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.06,0.45,0.49,balanced_accuracy,0.6987179487179487,0.7019230769230769,0.5293201919645071,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.03,0.53,0.44,balanced_accuracy,0.6987179487179487,0.7016765285996055,0.5282173685729503,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.06,0.44,0.5,balanced_accuracy,0.6987179487179487,0.7016765285996055,0.5294590435922146,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.04,0.56,0.4,balanced_accuracy,0.6987179487179487,0.7014299802761342,0.5277981504797936,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.04,0.51,0.45,balanced_accuracy,0.6987179487179487,0.7014299802761341,0.528492408618331,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.03,0.58,0.39,balanced_accuracy,0.6987179487179487,0.701429980276134,0.5275231104344129,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.04,0.53,0.43,balanced_accuracy,0.6987179487179487,0.701429980276134,0.528214705362916,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.03,0.59,0.38,balanced_accuracy,0.6987179487179487,0.7011834319526629,0.5273842588067055,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.03,0.57,0.4,balanced_accuracy,0.6987179487179487,0.7011834319526628,0.5276619620621205,0.6987179487179487,0.5964912280701754,0.6407113674597452
0.04,0.52,0.44,balanced_accuracy,0.6987179487179487,0.7011834319526626,0.5283535569906235,0.6987179487179487,0.5964912280701754,0.6407113674597452
