video_id,video_path,filename_label,host,episode,episode_group_id,size_bytes,is_corrupt,yt_video_id,file_name,start_time,end_time,label,group_id,split,fold
AN_WILTY_EP15_lie10,data/raw/dolos/videos/AN_WILTY_EP15_lie10.mp4,1.0,AN,15,AN_EP15,392867.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie10,18:17,18:20,1.0,AN_EP15,train,fold2
AN_WILTY_EP15_lie12,data/raw/dolos/videos/AN_WILTY_EP15_lie12.mp4,1.0,AN,15,AN_EP15,325841.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie12,18:41,18:45,1.0,AN_EP15,train,fold2
AN_WILTY_EP15_lie13,data/raw/dolos/videos/AN_WILTY_EP15_lie13.mp4,1.0,AN,15,AN_EP15,354334.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie13,18:49,18:53,1.0,AN_EP15,train,fold2
AN_WILTY_EP15_lie14,data/raw/dolos/videos/AN_WILTY_EP15_lie14.mp4,1.0,AN,15,AN_EP15,489405.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie14,19:01,19:07,1.0,AN_EP15,train,fold2
AN_WILTY_EP15_lie15,data/raw/dolos/videos/AN_WILTY_EP15_lie15.mp4,1.0,AN,15,AN_EP15,194953.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie15,19:22,19:26,1.0,AN_EP15,train,fold2
AN_WILTY_EP15_lie18,data/raw/dolos/videos/AN_WILTY_EP15_lie18.mp4,1.0,AN,15,AN_EP15,379971.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie18,23:38,23:42,1.0,AN_EP15,train,fold2
AN_WILTY_EP15_lie19,data/raw/dolos/videos/AN_WILTY_EP15_lie19.mp4,1.0,AN,15,AN_EP15,294524.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie19,23:44,23:47,1.0,AN_EP15,train,fold2
AN_WILTY_EP15_lie4,data/raw/dolos/videos/AN_WILTY_EP15_lie4.mp4,1.0,AN,15,AN_EP15,415448.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie4,7:03,7:06,1.0,AN_EP15,train,fold2
AN_WILTY_EP15_lie5,data/raw/dolos/videos/AN_WILTY_EP15_lie5.mp4,1.0,AN,15,AN_EP15,369427.0,False,UCPIBQDI0QM,AN_WILTY_EP15_lie5,7:32,7:36,1.0,AN_EP15,train,fold2
AN_WILTY_EP15_truth22,data/raw/dolos/videos/AN_WILTY_EP15_truth22.mp4,0.0,AN,15,AN_EP15,448810.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth22,25:44,25:47,0.0,AN_EP15,train,fold2
AN_WILTY_EP15_truth23,data/raw/dolos/videos/AN_WILTY_EP15_truth23.mp4,0.0,AN,15,AN_EP15,945472.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth23,26:14,26:23,0.0,AN_EP15,train,fold2
AN_WILTY_EP15_truth24,data/raw/dolos/videos/AN_WILTY_EP15_truth24.mp4,0.0,AN,15,AN_EP15,601684.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth24,26:28,26:37,0.0,AN_EP15,train,fold2
AN_WILTY_EP15_truth3,data/raw/dolos/videos/AN_WILTY_EP15_truth3.mp4,0.0,AN,15,AN_EP15,255663.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth3,5:50,5:55,0.0,AN_EP15,train,fold2
AN_WILTY_EP15_truth6,data/raw/dolos/videos/AN_WILTY_EP15_truth6.mp4,0.0,AN,15,AN_EP15,532993.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth6,8:58,9:04,0.0,AN_EP15,train,fold2
AN_WILTY_EP15_truth7,data/raw/dolos/videos/AN_WILTY_EP15_truth7.mp4,0.0,AN,15,AN_EP15,401721.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth7,9:48,9:51,0.0,AN_EP15,train,fold2
AN_WILTY_EP15_truth8,data/raw/dolos/videos/AN_WILTY_EP15_truth8.mp4,0.0,AN,15,AN_EP15,405540.0,False,UCPIBQDI0QM,AN_WILTY_EP15_truth8,17:04,17:08,0.0,AN_EP15,train,fold2
AN_WILTY_EP16_lie1,data/raw/dolos/videos/AN_WILTY_EP16_lie1.mp4,1.0,AN,16,AN_EP16,187844.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_lie1,2:04,2:07,1.0,AN_EP16,train,fold2
AN_WILTY_EP16_lie19,data/raw/dolos/videos/AN_WILTY_EP16_lie19.mp4,1.0,AN,16,AN_EP16,175081.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_lie19,21:12,21:16,1.0,AN_EP16,train,fold2
AN_WILTY_EP16_lie21,data/raw/dolos/videos/AN_WILTY_EP16_lie21.mp4,1.0,AN,16,AN_EP16,175377.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_lie21,21:34,21:39,1.0,AN_EP16,train,fold2
AN_WILTY_EP16_lie4,data/raw/dolos/videos/AN_WILTY_EP16_lie4.mp4,1.0,AN,16,AN_EP16,156193.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_lie4,2:50,2:54,1.0,AN_EP16,train,fold2
AN_WILTY_EP16_lie5,data/raw/dolos/videos/AN_WILTY_EP16_lie5.mp4,1.0,AN,16,AN_EP16,178456.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_lie5,3:01,3:05,1.0,AN_EP16,train,fold2
AN_WILTY_EP16_lie7,data/raw/dolos/videos/AN_WILTY_EP16_lie7.mp4,1.0,AN,16,AN_EP16,96823.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_lie7,3:33,3:36,1.0,AN_EP16,train,fold2
AN_WILTY_EP16_truth10,data/raw/dolos/videos/AN_WILTY_EP16_truth10.mp4,0.0,AN,16,AN_EP16,265297.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_truth10,6:04,6:09,0.0,AN_EP16,train,fold2
AN_WILTY_EP16_truth11,data/raw/dolos/videos/AN_WILTY_EP16_truth11.mp4,0.0,AN,16,AN_EP16,108647.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_truth11,6:14,6:17,0.0,AN_EP16,train,fold2
AN_WILTY_EP16_truth12,data/raw/dolos/videos/AN_WILTY_EP16_truth12.mp4,0.0,AN,16,AN_EP16,207996.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_truth12,8:51,8:58,0.0,AN_EP16,train,fold2
AN_WILTY_EP16_truth16,data/raw/dolos/videos/AN_WILTY_EP16_truth16.mp4,0.0,AN,16,AN_EP16,338085.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_truth16,15:57,16:06,0.0,AN_EP16,train,fold2
AN_WILTY_EP16_truth22,data/raw/dolos/videos/AN_WILTY_EP16_truth22.mp4,0.0,AN,16,AN_EP16,294714.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_truth22,23:18,23:25,0.0,AN_EP16,train,fold2
AN_WILTY_EP16_truth23,data/raw/dolos/videos/AN_WILTY_EP16_truth23.mp4,0.0,AN,16,AN_EP16,177085.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_truth23,23:36,23:40,0.0,AN_EP16,train,fold2
AN_WILTY_EP16_truth24,data/raw/dolos/videos/AN_WILTY_EP16_truth24.mp4,0.0,AN,16,AN_EP16,205562.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_truth24,23:57,24:04,0.0,AN_EP16,train,fold2
AN_WILTY_EP16_truth25,data/raw/dolos/videos/AN_WILTY_EP16_truth25.mp4,0.0,AN,16,AN_EP16,154309.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_truth25,25:15,25:19,0.0,AN_EP16,train,fold2
AN_WILTY_EP16_truth26,data/raw/dolos/videos/AN_WILTY_EP16_truth26.mp4,0.0,AN,16,AN_EP16,199276.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_truth26,25:59,26:04,0.0,AN_EP16,train,fold2
AN_WILTY_EP16_truth8,data/raw/dolos/videos/AN_WILTY_EP16_truth8.mp4,0.0,AN,16,AN_EP16,303032.0,False,hhSNKJ_lcNU,AN_WILTY_EP16_truth8,5:29,5:37,0.0,AN_EP16,train,fold2
AN_WILTY_EP17_lie1,data/raw/dolos/videos/AN_WILTY_EP17_lie1.mp4,1.0,AN,17,AN_EP17,261297.0,False,QbthTZVmNYk,AN_WILTY_EP17_lie1,1:43,1:48,1.0,AN_EP17,train,fold2
AN_WILTY_EP17_lie13,data/raw/dolos/videos/AN_WILTY_EP17_lie13.mp4,1.0,AN,17,AN_EP17,246947.0,False,QbthTZVmNYk,AN_WILTY_EP17_lie13,23:08,23:15,1.0,AN_EP17,train,fold2
