epoch,train_loss,val_auc_roc,val_auc_pr,val_macro_f1,val_lie_recall,val_eer,lr
1,0.609789882212469,0.4652777777777778,0.4657689464674759,0.4990512333965844,0.8333333333333334,0.5,0.0001
2,0.23321960356137525,0.375,0.43048201798201796,0.4375,0.8333333333333334,0.6666666666666667,0.0001
3,0.25033355371592797,0.14583333333333331,0.35642866771383397,0.3696969696969697,0.8333333333333334,0.875,0.0001
4,0.13203472542027905,0.05555555555555554,0.33594242164709254,0.24475524475524477,0.3333333333333333,0.9166666666666667,0.0001
5,0.11075331107394336,0.13194444444444445,0.35224423666214283,0.2595281306715064,0.08333333333333333,0.7083333333333333,5e-05
6,0.11643523814743512,0.1875,0.3767362683232922,0.32867132867132864,0.25,0.7916666666666667,5e-05
7,0.06085370394260916,0.20833333333333334,0.3800817439404396,0.20695652173913043,0.25,0.7916666666666667,5e-05
1,0.6697155882234442,0.3819444444444444,0.4391968940881984,0.34375,0.75,0.5833333333333333,0.0001
2,0.3490365710977006,0.2152777777777778,0.37472257411852244,0.34375,0.75,0.625,0.0001
3,0.19006693995978735,0.16666666666666666,0.36192172908504183,0.4079696394686907,0.75,0.75,0.0001
4,0.21371842308403693,0.11805555555555557,0.3485660163043559,0.28888888888888886,0.5833333333333334,0.875,0.0001
5,0.10881101921813129,0.06944444444444445,0.3382262489309198,0.12347826086956522,0.16666666666666666,0.9166666666666666,5e-05
6,0.0889731082197738,0.10416666666666667,0.3547153766332828,0.12347826086956522,0.16666666666666666,0.8333333333333334,5e-05
7,0.055998131428679376,0.20833333333333331,0.3842714414834653,0.19576719576719576,0.3333333333333333,0.625,5e-05
