video_id,label,score_lie,fusion_method,fold,threshold,pred,correct,margin,error_type,host,episode,episode_group_id,group_id,file_name,start_time,end_time,clip_suspect_contamination,first_window_suspect,suspect_window_ratio,max_identity_clusters,min_dominant_ratio,max_cosine_distance
YW_WILTY_EP49_truth14,0,0.5802653580904007,ensemble_raw_balanced_accuracy,fold1,0.516522823061262,1,False,0.06374253502913874,FP,YW,49,YW_EP49,YW_EP49,YW_WILTY_EP49_truth14,26:03,26:07,True,True,0.25,5,0.5,0.9825432300567628
YW_WILTY_EP49_truth13,0,0.5729970932006836,ensemble_raw_balanced_accuracy,fold1,0.516522823061262,1,False,0.056474270139421634,FP,YW,49,YW_EP49,YW_EP49,YW_WILTY_EP49_truth13,25:57,26:00,True,True,0.6666666666666666,3,0.6875,0.8513251543045044
LS_WILTY_EP72_true9,0,0.5685680389404297,ensemble_raw_balanced_accuracy,fold1,0.516522823061262,1,False,0.05204521587916777,FP,LS,72,LS_EP72,LS_EP72,LS_WILTY_EP72_true9,14:05,14:10,False,False,0.0,4,0.75,0.9029390811920166
YW_WILTY_EP49_truth11,0,0.5670290365815163,ensemble_raw_balanced_accuracy,fold1,0.516522823061262,1,False,0.050506213520254306,FP,YW,49,YW_EP49,YW_EP49,YW_WILTY_EP49_truth11,25:14,25:22,True,False,0.25,3,0.5625,0.6975680589675903
YW_WILTY_EP46_truth4,0,0.5632723172505697,ensemble_raw_balanced_accuracy,fold1,0.516522823061262,1,False,0.04674949418930774,FP,YW,46,YW_EP46,YW_EP46,YW_WILTY_EP46_truth4,14:19,14:25,False,False,0.0,3,0.875,0.9991891384124756
YW_WILTY_EP46_truth3,0,0.5611071387926737,ensemble_raw_balanced_accuracy,fold1,0.516522823061262,1,False,0.04458431573141175,FP,YW,46,YW_EP46,YW_EP46,YW_WILTY_EP46_truth3,14:03,14:06,False,False,0.0,3,0.75,0.7394371628761292
BRI_WILTY_EP57_truth_28,0,0.558591345945994,ensemble_raw_balanced_accuracy,fold1,0.516522823061262,1,False,0.04206852288473206,FP,BRI,57,BRI_EP57,BRI_EP57,BRI_WILTY_EP57_truth_28,21:19,21:22,True,True,0.6666666666666666,5,0.5625,0.987665355205536
YW_WILTY_EP51_truth5,0,0.5566963404417038,ensemble_raw_balanced_accuracy,fold1,0.516522823061262,1,False,0.04017351738044184,FP,YW,51,YW_EP51,YW_EP51,YW_WILTY_EP51_truth5,25:31,25:35,True,False,0.75,4,0.5625,0.9477394819259644
SB_WILTY_EP36_truth4,0,0.5557605862617493,ensemble_raw_balanced_accuracy,fold1,0.516522823061262,1,False,0.03923776320048733,FP,SB,36,SB_EP36,SB_EP36,SB_WILTY_EP36_truth4,7:43,7:53,True,True,0.9,5,0.4375,1.083805799484253
LS_WILTY_EP10_truth7,0,0.5553460518519083,ensemble_raw_balanced_accuracy,fold1,0.516522823061262,1,False,0.03882322879064637,FP,LS,10,LS_EP10,LS_EP10,LS_WILTY_EP10_truth7,21:32,21:35,False,False,0.0,3,0.75,0.8584980964660645
